iter	Logloss
0	0.6763432527
1	0.661478466
2	0.6484235296
3	0.6364106915
4	0.6263483961
5	0.6171654327
6	0.6088982336
7	0.6013727482
8	0.5949819055
9	0.5891386681
10	0.5840743518
11	0.5795188306
12	0.5753757812
13	0.5716681386
14	0.5683632754
15	0.5656867116
16	0.5629362425
17	0.5605658654
18	0.5583127163
19	0.5564631385
20	0.5547217518
21	0.5529955222
22	0.551534359
23	0.5502051673
24	0.5492191359
25	0.5482518615
26	0.5472941027
27	0.546220013
28	0.5454335253
29	0.5445475245
30	0.5438840334
31	0.5431707234
32	0.5425607899
33	0.5417917143
34	0.5412346535
35	0.5406914271
36	0.5402521618
37	0.5397237697
38	0.5393392738
39	0.5389265232
40	0.5384581029
41	0.5380439653
42	0.5377317668
43	0.5373699749
44	0.5369440534
45	0.5365887773
46	0.5362809461
47	0.5359872901
48	0.5356419653
49	0.5353360363
50	0.5350519762
51	0.5347038136
52	0.5345275324
53	0.5342879696
54	0.5340746957
55	0.5337943212
56	0.5335536077
57	0.5333226015
58	0.5330853765
59	0.5328774549
60	0.5326619957
61	0.5325120882
62	0.5323597836
63	0.5321984725
64	0.5320301429
65	0.5318576678
66	0.5317075648
67	0.5315508828
68	0.5314801602
69	0.5313316469
70	0.5312220728
71	0.5310769187
72	0.5309776643
73	0.5308091492
74	0.5306191161
75	0.5305008355
76	0.5303410915
77	0.530258867
78	0.5301417844
79	0.5300155278
80	0.5298993422
81	0.5298387737
82	0.5297007365
83	0.5295852748
84	0.5294923223
85	0.5293535022
86	0.5292382478
87	0.5291203639
88	0.528972796
89	0.5288417299
90	0.5287393656
91	0.5286652243
92	0.5285880597
93	0.5284503135
94	0.5283119445
95	0.5282389339
96	0.5281752652
97	0.5281097049
98	0.5280010471
99	0.5278789421
100	0.5277795451
101	0.5275924829
102	0.5275349922
103	0.527486683
104	0.5273983836
105	0.5272806938
106	0.5271424035
107	0.527073023
108	0.5269157835
109	0.5267997612
110	0.5267691868
111	0.5267120056
112	0.5265895806
113	0.5265208117
114	0.5264548339
115	0.5263859728
116	0.5262734109
117	0.526203632
118	0.5260618186
119	0.5259678999
120	0.5258628477
121	0.5257747134
122	0.5256215456
123	0.5255683404
124	0.5253448422
125	0.5252527606
126	0.525203713
127	0.5250147403
128	0.524980828
129	0.5248271336
130	0.5247437779
131	0.5246922537
132	0.5246260332
133	0.5246004386
134	0.5245513294
135	0.5244902141
136	0.524411704
137	0.5243590237
138	0.5242427073
139	0.5242020053
140	0.5240876425
141	0.524046811
142	0.5239265684
143	0.5238398701
144	0.5237813353
145	0.5236941354
146	0.5235756874
147	0.5234944049
148	0.5233736888
149	0.5232503839
150	0.5231649577
151	0.523062802
152	0.522988985
153	0.522876037
154	0.5228193916
155	0.5227605937
156	0.5226604378
157	0.5224800329
158	0.5223923867
159	0.5222974221
160	0.5222270572
161	0.5221779292
162	0.5221317186
163	0.5221095601
164	0.5220500454
165	0.5219596921
166	0.5219262284
167	0.5218137502
168	0.5217694573
169	0.5217287228
170	0.521609345
171	0.5215576778
172	0.5214879316
173	0.5214464596
174	0.5212949695
175	0.5211997563
176	0.5211715332
177	0.5211007801
178	0.5210196856
179	0.5209237039
180	0.5208594603
181	0.520807877
182	0.5207487369
183	0.5206617766
184	0.5205514035
185	0.5204216962
186	0.5203382719
187	0.5202924141
188	0.5202520596
189	0.5201866052
190	0.5201123307
191	0.5200468547
192	0.5199446113
193	0.519891115
194	0.5197432904
195	0.5196836808
196	0.5196660692
197	0.5195298241
198	0.5194844758
199	0.5194007033
200	0.519351446
201	0.5192507643
202	0.5191499641
203	0.5190485905
204	0.5189641258
205	0.5188957041
206	0.5188388584
207	0.518778005
208	0.5186758658
209	0.5185402913
210	0.5184312632
211	0.5183511072
212	0.5182608676
213	0.5181738769
214	0.5180591506
215	0.517977246
216	0.5178910274
217	0.5178135824
218	0.5177390262
219	0.5176644777
220	0.5175919418
221	0.517467756
222	0.5174053146
223	0.5173192264
