iter	Passed	Remaining
0	24	24723
1	44	22320
2	65	21745
3	85	21382
4	106	21151
5	127	21159
6	148	21079
7	169	20977
8	189	20870
9	217	21534
10	249	22389
11	269	22197
12	291	22133
13	312	22022
14	332	21865
15	353	21717
16	373	21597
17	395	21559
18	424	21935
19	466	22848
20	487	22718
21	508	22612
22	530	22529
23	551	22414
24	572	22311
25	591	22168
26	610	22016
27	636	22102
28	661	22138
29	688	22246
30	709	22167
31	731	22116
32	752	22052
33	773	21989
34	794	21914
35	817	21878
36	839	21839
37	874	22137
38	895	22073
39	916	21989
40	948	22184
41	970	22135
42	992	22093
43	1013	22018
44	1034	21961
45	1065	22089
46	1092	22158
47	1114	22104
48	1136	22048
49	1156	21982
50	1178	21929
51	1200	21887
52	1216	21734
53	1237	21681
54	1258	21617
55	1293	21797
56	1318	21812
57	1339	21759
58	1361	21707
59	1381	21647
60	1403	21602
61	1424	21544
62	1447	21527
63	1477	21602
64	1501	21599
65	1536	21750
66	1558	21700
67	1579	21652
68	1598	21567
69	1619	21511
70	1638	21437
71	1658	21379
72	1677	21300
73	1698	21254
74	1730	21338
75	1757	21366
76	1778	21322
77	1798	21260
78	1820	21218
79	1841	21172
80	1862	21132
81	1882	21071
82	1902	21024
83	1923	20972
84	1948	20975
85	1981	21057
86	2009	21089
87	2030	21047
88	2051	21001
89	2073	20963
90	2094	20918
91	2114	20866
92	2134	20814
93	2159	20814
94	2187	20843
95	2210	20817
96	2230	20764
97	2249	20708
98	2271	20670
99	2291	20624
100	2311	20575
101	2332	20539
102	2352	20490
103	2377	20486
104	2405	20505
105	2429	20492
106	2451	20459
107	2471	20410
108	2491	20368
109	2519	20382
110	2541	20354
111	2560	20304
112	2586	20303
113	2615	20323
114	2639	20311
115	2658	20260
116	2679	20219
117	2699	20178
118	2720	20138
119	2740	20095
120	2759	20048
121	2779	19999
122	2805	20006
123	2831	20001
124	2857	20003
125	2879	19971
126	2899	19927
127	2921	19904
128	2941	19860
129	2962	19823
130	2983	19791
131	3004	19758
132	3043	19841
133	3067	19826
134	3088	19791
135	3109	19753
136	3130	19721
137	3150	19679
138	3171	19644
139	3190	19601
140	3211	19563
141	3230	19519
142	3262	19550
143	3292	19574
144	3313	19536
145	3333	19501
146	3355	19472
147	3376	19436
148	3397	19403
149	3418	19374
150	3438	19334
151	3459	19300
152	3492	19332
153	3520	19339
154	3540	19302
155	3572	19326
156	3592	19291
157	3615	19266
158	3635	19229
159	3656	19194
160	3676	19159
161	3698	19132
162	3726	19136
163	3753	19135
164	3774	19099
165	3794	19062
166	3813	19023
167	3834	18991
168	3854	18951
169	3874	18914
170	3894	18879
171	3924	18890
172	3952	18895
173	3973	18863
174	3995	18836
